Product Details
NFRC ID,8909
CGDB ID,
Name,SageGlass® SR2.0_7mm lami fully tinted 1%T
Manufacturer,"SAGE Electrochromics, Inc."
Acceptance,#
Appearance,unknown
Filename,SageGlass_7_SR2_1dk.SAG
Type,glazing
Subtype,laminate
IGDB Version,33.0
CGDB Version,
Specular,True
Thickness,6.98999977111816
TIR f,0.0
TIR b,
Emis f,0.839105188846588
Emis b,0.139635980129242
Conductivity,0.679000020027161
Permeability Factor,
tfsol,0.004364469
rfsol,0.1144846
rbsol,0.1153374
tfvis,0.01076648
rfvis,0.1128854
rbvis,0.01256683
tdw,0.0111224
tuv,0.0002680672
tspf,12580.23
tciex,0.9203137
tciey,1.127636
tciez,1.969637
rfciex,10.53258
rfciey,11.40154
rfciez,14.07595

Spectral Data
Wavelength,T,Rf,Rb
0.3,0.0,0.0549999997019768,0.0759999975562096
0.305,0.0,0.0549999997019768,0.0710000023245811
0.31,0.0,0.0540000014007092,0.0659999996423721
0.315,0.0,0.0549999997019768,0.061999998986721
0.32,0.0,0.0570000000298023,0.0579999983310699
0.325,0.0,0.063000001013279,0.0549999997019768
0.33,0.0,0.0710000023245811,0.0509999990463257
0.335,0.0,0.0820000022649765,0.0469999983906746
0.34,0.0,0.0930000022053719,0.0419999994337559
0.345,0.0,0.104000002145767,0.0370000004768372
0.35,0.0,0.112999998033047,0.0329999998211861
0.355,0.0,0.119999997317791,0.0309999994933605
0.36,0.0,0.123000003397465,0.0309999994933605
0.365,0.0,0.123000003397465,0.0320000015199184
0.37,0.0,0.123000003397465,0.0320000015199184
0.375,0.0,0.125,0.0299999993294477
0.38,0.0020000000949949,0.127000004053116,0.025000000372529
0.385,0.00400000018998981,0.12899999320507,0.0179999992251396
0.39,0.00700000021606684,0.129999995231628,0.0120000001043081
0.395,0.00999999977648258,0.130999997258186,0.00800000037997961
0.4,0.0130000002682209,0.133000001311302,0.00700000021606684
0.405,0.0149999996647239,0.136999994516373,0.00899999961256981
0.41,0.0160000007599592,0.140000000596046,0.0140000004321337
0.415,0.0160000007599592,0.143999993801117,0.0189999993890524
0.42,0.017000000923872,0.145999997854233,0.0230000000447035
0.425,0.017000000923872,0.145999997854233,0.025000000372529
0.43,0.0179999992251396,0.14300000667572,0.025000000372529
0.435,0.0179999992251396,0.136999994516373,0.0230000000447035
0.44,0.0189999993890524,0.130999997258186,0.0199999995529652
0.445,0.0189999993890524,0.127000004053116,0.0149999996647239
0.45,0.0189999993890524,0.126000002026558,0.0109999999403954
0.455,0.0189999993890524,0.128000006079674,0.00700000021606684
0.46,0.0189999993890524,0.129999995231628,0.00400000018998981
0.465,0.0189999993890524,0.129999995231628,0.00300000002607703
0.47,0.0189999993890524,0.128000006079674,0.00300000002607703
0.475,0.0189999993890524,0.125,0.00499999988824129
0.48,0.0189999993890524,0.122000001370907,0.00800000037997961
0.485,0.0179999992251396,0.120999999344349,0.00999999977648258
0.49,0.0179999992251396,0.120999999344349,0.0130000002682209
0.495,0.017000000923872,0.123999997973442,0.0140000004321337
0.5,0.017000000923872,0.127000004053116,0.0149999996647239
0.505,0.0160000007599592,0.129999995231628,0.0149999996647239
0.51,0.0149999996647239,0.131999999284744,0.0140000004321337
0.515,0.0149999996647239,0.133000001311302,0.0130000002682209
0.52,0.0140000004321337,0.131999999284744,0.0109999999403954
0.525,0.0140000004321337,0.12899999320507,0.00899999961256981
0.53,0.0130000002682209,0.126000002026558,0.00700000021606684
0.535,0.0130000002682209,0.122000001370907,0.00499999988824129
0.54,0.0120000001043081,0.118000000715256,0.00400000018998981
0.545,0.0120000001043081,0.115000002086163,0.00300000002607703
0.55,0.0109999999403954,0.111000001430511,0.00300000002607703
0.555,0.0109999999403954,0.108000002801418,0.00300000002607703
0.56,0.00999999977648258,0.105999998748302,0.00300000002607703
0.565,0.00999999977648258,0.103000000119209,0.00499999988824129
0.57,0.00899999961256981,0.101000003516674,0.00600000005215406
0.575,0.00899999961256981,0.0989999994635582,0.00800000037997961
0.58,0.00800000037997961,0.0979999974370003,0.0109999999403954
0.585,0.00800000037997961,0.0979999974370003,0.0140000004321337
0.59,0.00800000037997961,0.0979999974370003,0.017000000923872
0.595,0.00700000021606684,0.0989999994635582,0.0199999995529652
0.6,0.00700000021606684,0.100000001490116,0.0240000002086163
0.605,0.00600000005215406,0.101999998092651,0.0280000008642673
0.61,0.00600000005215406,0.104000002145767,0.0320000015199184
0.615,0.00499999988824129,0.105999998748302,0.0350000001490116
0.62,0.00499999988824129,0.108999997377396,0.0379999987781048
0.625,0.00499999988824129,0.111000001430511,0.0410000011324883
0.63,0.00400000018998981,0.112000003457069,0.0430000014603138
0.635,0.00400000018998981,0.114000000059605,0.0439999997615814
0.64,0.00400000018998981,0.115000002086163,0.0439999997615814
0.645,0.00400000018998981,0.11599999666214,0.0430000014603138
0.65,0.00300000002607703,0.11599999666214,0.0410000011324883
0.655,0.00300000002607703,0.11599999666214,0.0379999987781048
0.66,0.00300000002607703,0.115000002086163,0.0350000001490116
0.665,0.00300000002607703,0.112999998033047,0.0299999993294477
0.67,0.00300000002607703,0.112000003457069,0.025000000372529
0.675,0.0020000000949949,0.109999999403954,0.0199999995529652
0.68,0.0020000000949949,0.10700000077486,0.0160000007599592
0.685,0.0020000000949949,0.104999996721745,0.0109999999403954
0.69,0.0020000000949949,0.101999998092651,0.00800000037997961
0.695,0.0020000000949949,0.0989999994635582,0.00600000005215406
0.7,0.0020000000949949,0.096000000834465,0.00600000005215406
0.705,0.0020000000949949,0.0939999967813492,0.00700000021606684
0.71,0.0020000000949949,0.090999998152256,0.0109999999403954
0.715,0.0020000000949949,0.0890000015497208,0.0160000007599592
0.72,0.00100000004749745,0.0860000029206276,0.0230000000447035
