Product Details
NFRC ID,8905
CGDB ID,
Name,SageGlass® SR2.0_7mm lami full clear 60%T
Manufacturer,"SAGE Electrochromics, Inc."
Acceptance,#
Appearance,unknown
Filename,SageGlass_7_SR2_60clr.SAG
Type,glazing
Subtype,laminate
IGDB Version,33.0
CGDB Version,
Specular,True
Thickness,6.98999977111816
TIR f,0.0
TIR b,
Emis f,0.839105188846588
Emis b,0.139635980129242
Conductivity,0.679000020027161
Permeability Factor,
tfsol,0.4088432
rfsol,0.1383806
rbsol,0.1449602
tfvis,0.6769015
rfvis,0.1204121
rbvis,0.08013411
tdw,0.3961996
tuv,0.005263518
tspf,581.0173
tciex,61.31234
tciey,67.14142
tciez,57.49485
rfciex,11.75121
rfciey,12.16083
rfciez,15.04204

Spectral Data
Wavelength,T,Rf,Rb
0.3,0.0,0.0570000000298023,0.0689999982714653
0.305,0.0,0.0560000017285347,0.0659999996423721
0.31,0.0,0.0549999997019768,0.061999998986721
0.315,0.0,0.0560000017285347,0.0579999983310699
0.32,0.0,0.0590000003576279,0.0529999993741512
0.325,0.0,0.0640000030398369,0.0480000004172325
0.33,0.0,0.0729999989271164,0.0439999997615814
0.335,0.0,0.0839999988675117,0.0419999994337559
0.34,0.0,0.0949999988079071,0.0399999991059303
0.345,0.00100000004749745,0.105999998748302,0.0370000004768372
0.35,0.0020000000949949,0.115000002086163,0.0329999998211861
0.355,0.0020000000949949,0.122000001370907,0.0299999993294477
0.36,0.0,0.125,0.028999999165535
0.365,0.0,0.126000002026558,0.0270000007003546
0.37,0.0,0.126000002026558,0.025000000372529
0.375,0.00600000005215406,0.126000002026558,0.0230000000447035
0.38,0.0370000004768372,0.125,0.0189999993890524
0.385,0.0860000029206276,0.123999997973442,0.0149999996647239
0.39,0.146999999880791,0.126000002026558,0.0130000002682209
0.395,0.210999995470047,0.13400000333786,0.0189999993890524
0.4,0.268999993801117,0.143999993801117,0.028999999165535
0.405,0.31700000166893,0.153999999165535,0.0419999994337559
0.41,0.354000002145767,0.158999994397163,0.0529999993741512
0.415,0.379999995231628,0.158999994397163,0.061999998986721
0.42,0.405000001192093,0.153999999165535,0.0649999976158142
0.425,0.432000011205673,0.143999993801117,0.063000001013279
0.43,0.460999995470047,0.13400000333786,0.0579999983310699
0.435,0.488000005483627,0.128000006079674,0.0529999993741512
0.44,0.50900000333786,0.130999997258186,0.0509999990463257
0.445,0.523999989032745,0.140000000596046,0.0549999997019768
0.45,0.537000000476837,0.149000003933907,0.0610000006854534
0.455,0.551999986171722,0.151999995112419,0.063000001013279
0.46,0.569000005722046,0.149000003933907,0.063000001013279
0.465,0.587000012397766,0.142000004649162,0.0640000030398369
0.47,0.602999985218048,0.135000005364418,0.0670000016689301
0.475,0.616999983787537,0.12899999320507,0.068000003695488
0.48,0.628000020980835,0.125,0.0670000016689301
0.485,0.635999977588654,0.126000002026558,0.0659999996423721
0.49,0.640999972820282,0.12899999320507,0.0670000016689301
0.495,0.643999993801117,0.133000001311302,0.0700000002980232
0.5,0.647000014781952,0.136000007390976,0.0750000029802322
0.505,0.65200001001358,0.136000007390976,0.0829999968409538
0.51,0.657000005245209,0.135000005364418,0.0900000035762787
0.515,0.662000000476837,0.131999999284744,0.0949999988079071
0.52,0.667999982833862,0.12899999320507,0.096000000834465
0.525,0.675000011920929,0.123999997973442,0.090999998152256
0.53,0.683000028133392,0.119000002741814,0.0829999968409538
0.535,0.689000010490417,0.114000000059605,0.0750000029802322
0.54,0.694000005722046,0.112000003457069,0.0700000002980232
0.545,0.698000013828278,0.109999999403954,0.0689999982714653
0.55,0.699999988079071,0.108999997377396,0.0689999982714653
0.555,0.702000021934509,0.10700000077486,0.0689999982714653
0.56,0.704999983310699,0.104999996721745,0.0689999982714653
0.565,0.705999970436096,0.104999996721745,0.068000003695488
0.57,0.704999983310699,0.10700000077486,0.0700000002980232
0.575,0.699000000953674,0.112999998033047,0.0750000029802322
0.58,0.689999997615814,0.123000003397465,0.0839999988675117
0.585,0.677999973297119,0.13400000333786,0.0949999988079071
0.59,0.666999995708466,0.143999993801117,0.104000002145767
0.595,0.660000026226044,0.148000001907349,0.108000002801418
0.6,0.657000005245209,0.145999997854233,0.10700000077486
0.605,0.658999979496002,0.137999996542931,0.100000001490116
0.61,0.663999974727631,0.127000004053116,0.0900000035762787
0.615,0.669000029563904,0.11599999666214,0.0810000002384186
0.62,0.672999978065491,0.10700000077486,0.0750000029802322
0.625,0.672999978065491,0.101999998092651,0.0729999989271164
0.63,0.670000016689301,0.101000003516674,0.0740000009536743
0.635,0.663999974727631,0.103000000119209,0.0780000016093254
0.64,0.657000005245209,0.105999998748302,0.0799999982118607
0.645,0.649999976158142,0.108000002801418,0.0799999982118607
0.65,0.644999980926514,0.108000002801418,0.0759999975562096
0.655,0.640999972820282,0.10700000077486,0.068000003695488
0.66,0.638999998569489,0.104000002145767,0.0599999986588955
0.665,0.637000024318695,0.101000003516674,0.0520000010728836
0.67,0.633000016212463,0.101000003516674,0.0489999987185001
